entry_time,exit_time,entry_price,exit_price,pnl,used_capital,profit,capital,reason
2023-06-16 14:58:57.000,2024-02-06 13:46:36.000,29.48,22.0,-0.2537313432835821,314660.40316333977,-79839.2067727877,313486.29718138697,次日开盘低于涨停价3%止损
2024-02-26 09:23:36.000,2024-04-12 11:23:15.000,25.61,21.01,-0.179617336977743,250789.03774510958,-45046.05910298725,268440.23807839974,次日开盘低于涨停价3%止损
2023-10-31 09:24:03.000,2023-10-23 14:20:06.000,26.8,25.3,-0.055970149253731345,214752.1904627198,-12019.712152764168,256420.52592563556,持仓期间回撤超过5%止损
2024-02-21 09:23:54.000,2023-09-04 14:32:39.000,21.9,28.57,0.3045662100456622,205136.42074050847,62477.62220726904,318898.1481329046,主动止盈
2024-04-24 09:24:48.000,2023-11-29 14:18:36.000,21.6,28.88,0.3370370370370369,255118.5185063237,85984.3895706498,404882.5377035544,主动止盈
2023-09-25 09:24:48.000,2023-09-15 09:36:42.000,27.99,24.01,-0.14219364058592343,323906.0301628435,-46057.377636588644,358825.16006696573,持仓期间回撤超过5%止损
2023-07-25 14:59:33.000,2024-01-22 14:48:06.000,28.07,23.23,-0.1724260776629854,287060.1280535726,-49496.651933711844,309328.5081332539,次日开盘低于涨停价3%止损
2023-11-03 14:58:48.000,2023-09-07 13:27:18.000,26.61,28.43,0.06839534009770765,247462.80650660314,16925.30281255234,326253.8109458062,主动止盈
2023-10-31 09:24:48.000,2024-02-20 14:08:27.000,26.74,21.48,-0.19670905011219142,261003.04875664497,-51341.66179730562,274912.1491485006,次日开盘低于涨停价3%止损
2023-08-02 09:16:57.000,2023-06-21 11:13:30.000,30.0,26.23,-0.12566666666666665,219929.7193188005,-27637.834727729256,247274.31442077132,持仓期间回撤超过5%止损
2023-07-31 14:58:39.000,2023-08-17 14:39:51.000,27.86,27.81,-0.001794687724335991,197819.45153661707,-355.02414130764515,246919.29027946366,持仓期间回撤超过5%止损
2023-07-14 14:59:51.000,2023-12-15 13:13:48.000,28.18,27.27,-0.03229240596167495,197535.43222357094,-6378.894369178481,240540.39591028518,持仓期间回撤超过5%止损
2023-06-19 09:24:57.000,2023-11-09 10:08:15.000,28.8,27.29,-0.052430555555555605,192432.31672822815,-10089.333272903637,230451.06263738155,次日开盘低于涨停价3%止损
2024-02-26 09:24:30.000,2023-11-28 13:18:15.000,25.75,28.71,0.11495145631067964,184360.85010990524,21192.54820680853,251643.6108441901,主动止盈
2024-02-26 09:23:00.000,2023-12-13 13:58:18.000,25.6,29.6,0.15625,201314.8886753521,31455.451355523765,283099.06219971384,主动止盈
2023-09-25 09:23:45.000,2023-11-15 14:14:51.000,27.88,22.37,-0.1976327116212338,226479.24975977108,-44759.70825596622,238339.3539437476,持仓期间回撤超过5%止损
2023-08-09 09:16:57.000,2024-02-19 11:24:42.000,31.0,22.29,-0.2809677419354839,190671.4831549981,-53572.536073549476,184766.81787019814,次日开盘低于涨停价3%止损
2024-04-29 09:24:12.000,2023-06-28 13:50:00.000,22.58,30.0,0.3286093888396812,147813.4542961585,48572.8888785428,233339.70674874092,主动止盈
2023-06-13 09:24:57.000,2023-10-13 10:54:57.000,26.86,22.33,-0.16865227103499633,186671.76539899275,-31482.617172652175,201857.08957608874,持仓期间回撤超过5%止损
2023-09-01 14:59:51.000,2023-11-07 14:24:00.000,29.78,28.2,-0.05305574210879791,161485.671660871,-8567.742149905187,193289.34742618355,次日开盘低于涨停价3%止损
2024-04-24 09:24:12.000,2023-12-06 11:02:42.000,21.65,27.71,0.27990762124711327,154631.47794094685,43282.5291603759,236571.87658655946,主动止盈
2023-06-29 14:59:51.000,2024-05-10 13:22:03.000,30.75,21.71,-0.29398373983739834,189257.5012692476,-55638.62801541457,180933.24857114488,次日开盘低于涨停价3%止损
2024-05-06 09:24:03.000,2023-07-24 13:24:30.000,22.37,27.15,0.21367903442109956,144746.59885691592,30929.31347948403,211862.5620506289,主动止盈
2023-10-31 09:23:27.000,2023-06-01 14:13:00.000,26.81,22.32,-0.1674748228273032,169490.04964050313,-28385.316034534084,183477.24601609484,持仓期间回撤超过5%止损
2024-03-14 14:59:24.000,2024-03-27 10:08:27.000,25.25,23.72,-0.06059405940594064,146781.79681287587,-8894.104915790109,174583.14110030473,次日开盘低于涨停价3%止损
2024-01-26 09:24:30.000,2023-10-19 14:11:12.000,21.87,27.01,0.23502514860539553,139666.5128802438,32825.14294487669,207408.2840451814,主动止盈
2023-08-09 09:16:12.000,2024-03-26 10:07:57.000,31.28,24.21,-0.2260230179028133,165926.62723614514,-37503.23703834866,169905.04700683276,次日开盘低于涨停价3%止损
2023-07-14 14:58:30.000,2023-11-30 10:43:06.000,28.34,21.96,-0.2251235003528581,135924.0376054662,-30599.69512783607,139305.35187899668,持仓期间回撤超过5%止损
2023-08-31 14:57:36.000,2023-07-31 14:50:54.000,29.75,27.86,-0.0635294117647059,111444.28150319734,-7079.989648438422,132225.36223055827,持仓期间回撤超过5%止损
2024-05-06 09:24:12.000,2023-12-20 14:15:33.000,22.36,29.08,0.30053667262969586,105780.28978444662,31790.856321622596,164016.21855218086,主动止盈
2023-07-14 14:58:39.000,2023-06-29 10:42:00.000,27.98,31.0,0.10793423874195852,131212.9748417447,14162.37255261147,178178.59110479231,主动止盈
2023-11-03 09:24:21.000,2023-11-14 13:40:36.000,26.17,27.61,0.055024837600305604,142542.87288383386,7843.398431513963,186021.98953630627,主动止盈
2024-02-26 09:20:00.000,2024-04-03 14:55:03.000,25.57,22.33,-0.12671098944075096,148817.59162904503,-18856.824281505913,167165.16525480035,次日开盘低于涨停价3%止损
2024-01-04 09:22:51.000,2023-07-28 09:51:30.000,26.88,22.0,-0.181547619047619,133732.13220384027,-24278.750191768617,142886.41506303172,持仓期间回撤超过5%止损
2023-06-19 14:58:48.000,2024-04-22 09:54:54.000,30.31,20.55,-0.3220059386341141,114309.13205042538,-36808.21936034812,106078.19570268359,次日开盘低于涨停价3%止损
2023-06-20 14:58:39.000,2024-01-08 14:32:39.000,31.35,26.13,-0.16650717703349288,84862.55656214687,-14130.224729008192,91947.9709736754,次日开盘低于涨停价3%止损
2023-06-16 14:59:51.000,2024-03-21 10:35:39.000,29.45,24.52,-0.16740237691001697,73558.37677894032,-12313.847114437207,79634.1238592382,次日开盘低于涨停价3%止损
2023-07-31 14:59:15.000,2024-02-07 13:52:09.000,27.87,22.73,-0.18442770003588088,63707.299087390566,-11749.390646185415,67884.73321305278,次日开盘低于涨停价3%止损
2024-01-18 14:59:24.000,2023-09-11 14:29:06.000,24.45,28.77,0.17668711656441718,54307.78657044223,9595.486216127216,77480.21942918,主动止盈
2024-02-26 09:23:18.000,2024-02-20 09:53:48.000,25.61,21.19,-0.17258883248730958,61984.175543344,-10697.776489714188,66782.44293946581,持仓期间回撤超过5%止损
2024-02-28 09:24:57.000,2023-09-28 10:16:00.000,25.6,29.49,0.15195312499999988,53425.95435157265,8118.2407198288065,74900.68365929462,主动止盈
2024-03-14 09:24:57.000,2023-06-21 09:39:15.000,25.75,31.05,0.20582524271844663,59920.5469274357,12333.161115161525,87233.84477445614,主动止盈
2023-11-03 09:24:30.000,2023-08-10 14:12:33.000,26.19,28.29,0.08018327605956463,69787.07581956491,5595.7563658299405,92829.60114028607,主动止盈
2023-06-16 14:59:42.000,2023-11-09 10:18:48.000,29.48,27.29,-0.07428765264586164,74263.68091222887,-5516.874531810763,87312.7266084753,次日开盘低于涨停价3%止损
2024-04-24 09:23:45.000,2023-06-13 13:21:57.000,21.68,27.46,0.26660516605166057,69850.18128678025,18622.419180700643,105935.14578917595,主动止盈
2024-04-29 09:24:48.000,2023-06-07 10:50:12.000,22.7,24.5,0.07929515418502206,84748.11663134076,6720.114975172398,112655.26076434835,主动止盈
2023-11-03 14:59:06.000,2023-06-12 10:01:06.000,26.6,24.65,-0.07330827067669184,90124.20861147868,-6606.84987941292,106048.41088493542,持仓期间回撤超过5%止损
